id,source_class,discipline,unit,chapter,topic,subtopic,question_type,difficulty,correct_option,figure_required,figures,generator_eligible,validation_status
NEET27-BIO-0918,XI,Zoology,Unit 5: Human Physiology,Breathing and Exchange of Gases,Breathing and Exchange of Gases,Respiratory organs,Match the Pair,Medium,D,False,,True,PASS
NEET27-BIO-0919,XI,Zoology,Unit 1: Diversity in Living World,Animal Kingdom,Animal Kingdom,Integrated chapter reasoning,Multi-statement,Difficult,B,False,,True,PASS
NEET27-BIO-0920,XI,Zoology,Unit 1: Diversity in Living World,Animal Kingdom,Animal Kingdom,Integrated chapter reasoning,Multi-statement,Difficult,C,False,,True,PASS
NEET27-BIO-0921,XI,Zoology,Unit 2: Structural Organisation in Animals and Plants,Structural Organisation in Animals,Structural Organisation in Animals,Frog red blood cells and Frog excretion,Statement I and Statement II,Medium,D,False,,True,PASS
NEET27-BIO-0922,XII,Botany,Unit 7: Genetics and Evolution,Molecular Basis of Inheritance,Molecular Basis of Inheritance,Genetic code and translation,Integrated Association Analysis,Medium,B,False,,True,PASS
NEET27-BIO-0923,XI,Botany,Unit 4: Plant Physiology,Plant Growth and Development,Plant Growth and Development,Phases of growth and Growth measurement,Statement I and Statement II,Medium,A,False,,True,PASS
NEET27-BIO-0924,XI,Botany,Unit 2: Structural Organisation in Animals and Plants,Morphology of Flowering Plants,Morphology of Flowering Plants,Placentation and Fruits,Statement I and Statement II,Medium,C,False,,True,PASS
NEET27-BIO-0925,XII,Botany,Unit 9: Biotechnology and Its Applications,Biotechnology: Principles and Processes,Biotechnology: Principles and Processes,rDNA methodology,Applied Classification,Medium,D,False,,True,PASS
NEET27-BIO-0926,XII,Botany,Unit 7: Genetics and Evolution,Principles of Inheritance and Variation,Principles of Inheritance and Variation,Sex-linked inheritance,Direct Concept,Easy,A,False,,True,PASS
NEET27-BIO-0927,XII,Botany,Unit 8: Biology and Human Welfare,Microbes in Human Welfare,Microbes in Human Welfare,Curd formation,Direct NCERT-based,Easy,B,False,,True,PASS
NEET27-BIO-0928,XI,Zoology,Unit 5: Human Physiology,Neural Control and Coordination,Neural Control and Coordination,Impulse and synapse,Direct Concept,Easy,C,False,,True,PASS
NEET27-BIO-0929,XII,Botany,Unit 8: Biology and Human Welfare,Microbes in Human Welfare,Microbes in Human Welfare,Toddy with Ethanol production,Applied statement comparison,Medium,A,False,,True,PASS
NEET27-BIO-0930,XI,Botany,Unit 2: Structural Organisation in Animals and Plants,Morphology of Flowering Plants,Morphology of Flowering Plants,Underground stems with Leaf parts,Applied statement comparison,Medium,C,False,,True,PASS
NEET27-BIO-0931,XI,Botany,Unit 1: Diversity in Living World,Plant Kingdom,Plant Kingdom,Pteridophyte dominance and Prothallus,Statement I and Statement II,Medium,B,False,,True,PASS
NEET27-BIO-0932,XII,Botany,Unit 10: Ecology and Environment,Organisms and Populations,Organisms and Populations,Population attributes,Applied Classification,Medium,A,False,,True,PASS
NEET27-BIO-0933,XII,Botany,Unit 10: Ecology and Environment,Biodiversity and Conservation,Biodiversity and Conservation,Integrated chapter reasoning,Multi-statement,Difficult,A,False,,True,PASS
NEET27-BIO-0934,XI,Zoology,Unit 5: Human Physiology,Excretory Products and Their Elimination,Excretory Products and Their Elimination,"Hormonal regulation, sources",Comparison Based,Easy,D,False,,True,PASS
NEET27-BIO-0935,XII,Botany,Unit 10: Ecology and Environment,Ecosystem,Ecosystem,Decomposition factors,Direct NCERT-based,Easy,B,False,,True,PASS
NEET27-BIO-0936,XII,Botany,Unit 10: Ecology and Environment,Biodiversity and Conservation,Biodiversity and Conservation,Biodiversity hotspots,Direct NCERT-based,Easy,A,False,,True,PASS
NEET27-BIO-0937,XII,Botany,Unit 9: Biotechnology and Its Applications,Biotechnology: Principles and Processes,Biotechnology: Principles and Processes,rDNA methodology,Reverse Association,Easy,C,False,,True,PASS
NEET27-BIO-0938,XII,Botany,Unit 10: Ecology and Environment,Ecosystem,Ecosystem,Pyramids of biomass and Decomposers,Statement I and Statement II,Medium,B,False,,True,PASS
NEET27-BIO-0939,XI,Botany,Unit 4: Plant Physiology,Respiration in Plants,Respiration in Plants,RQ of carbohydrate,Direct Concept,Easy,C,False,,True,PASS
NEET27-BIO-0940,XII,Botany,Unit 7: Genetics and Evolution,Principles of Inheritance and Variation,Principles of Inheritance and Variation,Non-Mendelian patterns,Reverse Association,Easy,B,False,,True,PASS
NEET27-BIO-0941,XII,Zoology,Unit 8: Biology and Human Welfare,Human Health and Disease,Human Health and Disease,Immunity,Statement Completion,Easy,A,False,,True,PASS
NEET27-BIO-0942,XI,Botany,Unit 2: Structural Organisation in Animals and Plants,Morphology of Flowering Plants,Morphology of Flowering Plants,Inflorescence and Floral whorls,Statement I and Statement II,Medium,C,False,,True,PASS
NEET27-BIO-0943,XI,Botany,Unit 4: Plant Physiology,Plant Growth and Development,Plant Growth and Development,Sigmoid growth curve with Differentiation,Applied statement comparison,Medium,D,False,,True,PASS
NEET27-BIO-0944,XI,Botany,Unit 1: Diversity in Living World,Biological Classification,Biological Classification,Kingdom Fungi with Lichens,Applied statement comparison,Medium,B,False,,True,PASS
NEET27-BIO-0945,XI,Botany,Unit 4: Plant Physiology,Photosynthesis in Higher Plants,Photosynthesis in Higher Plants,Site of photosynthesis with Photosystems,Applied statement comparison,Medium,C,False,,True,PASS
NEET27-BIO-0946,XI,Zoology,Unit 2: Structural Organisation in Animals and Plants,Structural Organisation in Animals,Structural Organisation in Animals,Integrated chapter reasoning,Higher-order multi-statement,Difficult,B,False,,True,PASS
NEET27-BIO-0947,XII,Botany,Unit 6: Reproduction,Sexual Reproduction in Flowering Plants,Sexual Reproduction in Flowering Plants,Pollination,Direct Concept,Easy,D,False,,True,PASS
NEET27-BIO-0948,XII,Botany,Unit 8: Biology and Human Welfare,Microbes in Human Welfare,Microbes in Human Welfare,Organic acids,Direct NCERT-based,Easy,B,False,,True,PASS
NEET27-BIO-0949,XII,Botany,Unit 7: Genetics and Evolution,Molecular Basis of Inheritance,Molecular Basis of Inheritance,DNA packaging,Direct Concept,Easy,A,False,,True,PASS
NEET27-BIO-0950,XI,Botany,Unit 3: Cell Structure and Function,Cell Cycle and Cell Division,Cell Cycle and Cell Division,Crossing over with Interphase,Applied statement comparison,Medium,A,False,,True,PASS
NEET27-BIO-0951,XII,Botany,Unit 10: Ecology and Environment,Ecosystem,Ecosystem,Integrated chapter reasoning,Multi-statement,Difficult,C,False,,True,PASS
NEET27-BIO-0952,XI,Zoology,Unit 1: Diversity in Living World,Animal Kingdom,Animal Kingdom,Reptilia and Aves and Mammalia,Statement I and Statement II,Medium,D,False,,True,PASS
NEET27-BIO-0953,XII,Zoology,Unit 6: Reproduction,Human Reproduction,Human Reproduction,Female reproductive system,Integrated Association Analysis,Medium,A,False,,True,PASS
NEET27-BIO-0954,XII,Botany,Unit 7: Genetics and Evolution,Principles of Inheritance and Variation,Principles of Inheritance and Variation,Chromosomal disorders,Reverse Association,Easy,D,False,,True,PASS
NEET27-BIO-0955,XI,Botany,Unit 3: Cell Structure and Function,Cell: The Unit of Life,Cell: The Unit of Life,Lysosomes and Vacuoles,Statement I and Statement II,Medium,B,False,,True,PASS
NEET27-BIO-0956,XII,Zoology,Unit 6: Reproduction,Human Reproduction,Human Reproduction,Gametogenesis,Direct Concept,Easy,C,False,,True,PASS
NEET27-BIO-0957,XI,Botany,Unit 1: Diversity in Living World,Biological Classification,Biological Classification,Red tides with Slime moulds,Applied statement comparison,Medium,D,False,,True,PASS
NEET27-BIO-0958,XII,Botany,Unit 7: Genetics and Evolution,Molecular Basis of Inheritance,Molecular Basis of Inheritance,DNA structure,Cross-Concept Elimination,Difficult,A,False,,True,PASS
NEET27-BIO-0959,XI,Zoology,Unit 2: Structural Organisation in Animals and Plants,Structural Organisation in Animals,Structural Organisation in Animals,Integrated chapter reasoning,Higher-order multi-statement,Difficult,D,False,,True,PASS
NEET27-BIO-0960,XII,Botany,Unit 7: Genetics and Evolution,Molecular Basis of Inheritance,Molecular Basis of Inheritance,Gene regulation and genomics,Cross-Concept Elimination,Difficult,B,False,,True,PASS
NEET27-BIO-0961,XI,Botany,Unit 3: Cell Structure and Function,Cell: The Unit of Life,Cell: The Unit of Life,Cytoskeleton and Cilia and flagella,Statement I and Statement II,Medium,C,False,,True,PASS
NEET27-BIO-0962,XII,Botany,Unit 10: Ecology and Environment,Organisms and Populations,Organisms and Populations,Mortality and Age distribution,Statement I and Statement II,Medium,D,False,,True,PASS
NEET27-BIO-0963,XI,Zoology,Unit 1: Diversity in Living World,Animal Kingdom,Animal Kingdom,Urochordata and Cephalochordata and Fishes,Statement I and Statement II,Medium,C,False,,True,PASS
NEET27-BIO-0964,XII,Botany,Unit 9: Biotechnology and Its Applications,Biotechnology: Principles and Processes,Biotechnology: Principles and Processes,Restriction and joining enzymes,Match the Pair,Medium,A,False,,True,PASS
NEET27-BIO-0965,XI,Zoology,Unit 5: Human Physiology,Body Fluids and Circulation,Body Fluids and Circulation,Blood cells,Cross-Concept Elimination,Difficult,C,False,,True,PASS
NEET27-BIO-0966,XII,Botany,Unit 6: Reproduction,Sexual Reproduction in Flowering Plants,Sexual Reproduction in Flowering Plants,Special reproductive phenomena,Applied Classification,Medium,B,False,,True,PASS
NEET27-BIO-0967,XI,Botany,Unit 4: Plant Physiology,Plant Growth and Development,Plant Growth and Development,Growth rates,Statement Completion,Easy,B,False,,True,PASS
NEET27-BIO-0968,XII,Botany,Unit 7: Genetics and Evolution,Molecular Basis of Inheritance,Molecular Basis of Inheritance,Transcription and RNA,Cross-Concept Elimination,Difficult,A,False,,True,PASS
NEET27-BIO-0969,XII,Zoology,Unit 8: Biology and Human Welfare,Human Health and Disease,Human Health and Disease,Viral and helminth diseases,Cross-Concept Elimination,Difficult,D,False,,True,PASS
NEET27-BIO-0970,XII,Botany,Unit 7: Genetics and Evolution,Molecular Basis of Inheritance,Molecular Basis of Inheritance,Transcription and RNA,Direct Concept,Easy,C,False,,True,PASS
NEET27-BIO-0971,XII,Botany,Unit 9: Biotechnology and Its Applications,Biotechnology: Principles and Processes,Biotechnology: Principles and Processes,PCR and analysis,Statement Completion,Easy,A,False,,True,PASS
NEET27-BIO-0972,XI,Zoology,Unit 5: Human Physiology,Excretory Products and Their Elimination,Excretory Products and Their Elimination,Medullary osmotic gradient,Numerical,Medium,B,False,,True,PASS
NEET27-BIO-0973,XI,Zoology,Unit 1: Diversity in Living World,Animal Kingdom,Animal Kingdom,Integrated chapter reasoning,Multi-statement,Difficult,A,False,,True,PASS
NEET27-BIO-0974,XI,Zoology,Unit 2: Structural Organisation in Animals and Plants,Structural Organisation in Animals,Structural Organisation in Animals,Cartilage and bone and Blood,Statement I and Statement II,Medium,C,False,,True,PASS
NEET27-BIO-0975,XII,Botany,Unit 10: Ecology and Environment,Organisms and Populations,Organisms and Populations,Integrated chapter reasoning,Higher-order multi-statement,Difficult,D,False,,True,PASS
NEET27-BIO-0976,XI,Botany,Unit 4: Plant Physiology,Photosynthesis in Higher Plants,Photosynthesis in Higher Plants,Photosystems,Direct NCERT-based,Easy,D,False,,True,PASS
NEET27-BIO-0977,XI,Botany,Unit 2: Structural Organisation in Animals and Plants,Anatomy of Flowering Plants,Anatomy of Flowering Plants,Integrated chapter reasoning,Higher-order multi-statement,Difficult,C,False,,True,PASS
NEET27-BIO-0978,XII,Botany,Unit 7: Genetics and Evolution,Evolution,Evolution,Population genetics,Cross-Concept Elimination,Difficult,B,False,,True,PASS
NEET27-BIO-0979,XI,Botany,Unit 4: Plant Physiology,Plant Growth and Development,Plant Growth and Development,Integrated chapter reasoning,Multi-statement,Difficult,C,False,,True,PASS
NEET27-BIO-0980,XI,Botany,Unit 4: Plant Physiology,Photosynthesis in Higher Plants,Photosynthesis in Higher Plants,Chemiosmosis,Direct NCERT-based,Easy,C,False,,True,PASS
NEET27-BIO-0981,XII,Botany,Unit 10: Ecology and Environment,Biodiversity and Conservation,Biodiversity and Conservation,Integrated chapter reasoning,Higher-order multi-statement,Difficult,D,False,,True,PASS
NEET27-BIO-0982,XII,Botany,Unit 7: Genetics and Evolution,Principles of Inheritance and Variation,Principles of Inheritance and Variation,Chromosomal disorders,Cross-Concept Elimination,Difficult,B,False,,True,PASS
NEET27-BIO-0983,XI,Botany,Unit 4: Plant Physiology,Photosynthesis in Higher Plants,Photosynthesis in Higher Plants,Integrated chapter reasoning,Higher-order multi-statement,Difficult,A,False,,True,PASS
NEET27-BIO-0984,XII,Botany,Unit 9: Biotechnology and Its Applications,Biotechnology: Principles and Processes,Biotechnology: Principles and Processes,Cloning vectors,Cross-Concept Elimination,Difficult,B,False,,True,PASS
NEET27-BIO-0985,XII,Botany,Unit 7: Genetics and Evolution,Molecular Basis of Inheritance,Molecular Basis of Inheritance,Gene regulation and genomics,Applied Classification,Medium,D,False,,True,PASS
NEET27-BIO-0986,XI,Botany,Unit 1: Diversity in Living World,Plant Kingdom,Plant Kingdom,Gymnosperm nutritive tissue,Direct NCERT-based,Easy,A,False,,True,PASS
NEET27-BIO-0987,XII,Botany,Unit 7: Genetics and Evolution,Evolution,Evolution,Origin of life,Multi-statement analysis,Difficult,D,False,,True,PASS
NEET27-BIO-0988,XII,Botany,Unit 10: Ecology and Environment,Organisms and Populations,Organisms and Populations,Integrated chapter reasoning,Multi-statement,Difficult,A,False,,True,PASS
NEET27-BIO-0989,XII,Botany,Unit 7: Genetics and Evolution,Molecular Basis of Inheritance,Molecular Basis of Inheritance,Gene regulation and genomics,Direct Concept,Easy,D,False,,True,PASS
NEET27-BIO-0990,XII,Botany,Unit 10: Ecology and Environment,Biodiversity and Conservation,Biodiversity and Conservation,Levels of biodiversity and Latitudinal gradient,Statement I and Statement II,Medium,A,False,,True,PASS
NEET27-BIO-0991,XI,Botany,Unit 3: Cell Structure and Function,Cell Cycle and Cell Division,Cell Cycle and Cell Division,Integrated chapter reasoning,Multi-statement,Difficult,C,False,,True,PASS
NEET27-BIO-0992,XI,Botany,Unit 3: Cell Structure and Function,Biomolecules,Biomolecules,Disaccharides,Comparison Based,Easy,B,False,,True,PASS
NEET27-BIO-0993,XII,Botany,Unit 7: Genetics and Evolution,Molecular Basis of Inheritance,Molecular Basis of Inheritance,DNA replication,Reverse Association,Easy,C,False,,True,PASS
NEET27-BIO-0994,XI,Botany,Unit 2: Structural Organisation in Animals and Plants,Morphology of Flowering Plants,Morphology of Flowering Plants,Malvaceae and Fabaceae,Statement I and Statement II,Medium,A,False,,True,PASS
NEET27-BIO-0995,XII,Botany,Unit 7: Genetics and Evolution,Principles of Inheritance and Variation,Principles of Inheritance and Variation,Monohybrid cross: Tt x Tt,Diagram Interpretation,Easy,D,True,figures/NEET27-BIO-XII-CH04-FIG01.png,True,PASS
NEET27-BIO-0996,XI,Botany,Unit 2: Structural Organisation in Animals and Plants,Morphology of Flowering Plants,Morphology of Flowering Plants,Integrated chapter reasoning,Higher-order multi-statement,Difficult,C,False,,True,PASS
NEET27-BIO-0997,XII,Botany,Unit 6: Reproduction,Sexual Reproduction in Flowering Plants,Sexual Reproduction in Flowering Plants,Special reproductive phenomena,Statement Completion,Easy,B,False,,True,PASS
NEET27-BIO-0998,XII,Botany,Unit 10: Ecology and Environment,Biodiversity and Conservation,Biodiversity and Conservation,Extinction risk,Direct NCERT-based,Easy,A,False,,True,PASS
NEET27-BIO-0999,XI,Botany,Unit 4: Plant Physiology,Respiration in Plants,Respiration in Plants,Pay-off phase accounting,Multi-Step Numerical,Difficult,D,False,,True,PASS
NEET27-BIO-1000,XI,Botany,Unit 2: Structural Organisation in Animals and Plants,Morphology of Flowering Plants,Morphology of Flowering Plants,Integrated chapter reasoning,Multi-statement,Difficult,A,False,,True,PASS
NEET27-BIO-1001,XII,Botany,Unit 8: Biology and Human Welfare,Microbes in Human Welfare,Microbes in Human Welfare,Bioactive molecules and Statins,Statement I and Statement II,Medium,D,False,,True,PASS
NEET27-BIO-1002,XI,Botany,Unit 1: Diversity in Living World,The Living World,The Living World,Integrated chapter reasoning,Higher-order multi-statement,Difficult,B,False,,True,PASS
NEET27-BIO-1003,XII,Botany,Unit 7: Genetics and Evolution,Principles of Inheritance and Variation,Principles of Inheritance and Variation,Sex-linked inheritance,Evidence Integration,Difficult,D,False,,True,PASS
NEET27-BIO-1004,XII,Zoology,Unit 8: Biology and Human Welfare,Human Health and Disease,Human Health and Disease,Bacterial and protozoan diseases,Integrated Association Analysis,Medium,B,False,,True,PASS
NEET27-BIO-1005,XII,Botany,Unit 7: Genetics and Evolution,Principles of Inheritance and Variation,Principles of Inheritance and Variation,Mendelian inheritance,Multi-Statement Reasoning,Difficult,A,False,,True,PASS
NEET27-BIO-1006,XII,Botany,Unit 7: Genetics and Evolution,Molecular Basis of Inheritance,Molecular Basis of Inheritance,DNA replication,Direct Concept,Easy,A,False,,True,PASS
NEET27-BIO-1007,XI,Botany,Unit 4: Plant Physiology,Plant Growth and Development,Plant Growth and Development,Plant hormones II,Evidence Integration,Difficult,B,False,,True,PASS
NEET27-BIO-1008,XII,Zoology,Unit 8: Biology and Human Welfare,Human Health and Disease,Human Health and Disease,Immunity,Evidence Integration,Difficult,C,False,,True,PASS
NEET27-BIO-1009,XI,Botany,Unit 1: Diversity in Living World,Plant Kingdom,Plant Kingdom,Integrated chapter reasoning,Multi-statement,Difficult,B,False,,True,PASS
NEET27-BIO-1010,XI,Botany,Unit 3: Cell Structure and Function,Biomolecules,Biomolecules,Macromolecules and micromolecules,Comparison Based,Easy,B,False,,True,PASS
NEET27-BIO-1011,XI,Botany,Unit 4: Plant Physiology,Respiration in Plants,Respiration in Plants,Site of the Krebs cycle,Direct Concept,Easy,D,False,,True,PASS
NEET27-BIO-1012,XII,Zoology,Unit 6: Reproduction,Reproductive Health,Reproductive Health,Birth control and reproductive health,Multi-Statement Reasoning,Difficult,A,False,,True,PASS
NEET27-BIO-1013,XI,Botany,Unit 4: Plant Physiology,Respiration in Plants,Respiration in Plants,ATP investment,Numerical,Medium,C,False,,True,PASS
NEET27-BIO-1014,XII,Botany,Unit 10: Ecology and Environment,Biodiversity and Conservation,Biodiversity and Conservation,Alien species and Co-extinction,Statement I and Statement II,Medium,C,False,,True,PASS
NEET27-BIO-1015,XI,Zoology,Unit 5: Human Physiology,Breathing and Exchange of Gases,Breathing and Exchange of Gases,Gas transport,Direct Concept,Easy,D,False,,True,PASS
NEET27-BIO-1016,XI,Botany,Unit 2: Structural Organisation in Animals and Plants,Morphology of Flowering Plants,Morphology of Flowering Plants,Integrated chapter reasoning,Higher-order multi-statement,Difficult,D,False,,True,PASS
NEET27-BIO-1017,XII,Botany,Unit 6: Reproduction,Sexual Reproduction in Flowering Plants,Sexual Reproduction in Flowering Plants,Microsporogenesis and pollen,Direct Concept,Easy,C,False,,True,PASS
NEET27-BIO-1018,XII,Botany,Unit 7: Genetics and Evolution,Evolution,Evolution,Origin of life,Multi-Statement Reasoning,Difficult,C,False,,True,PASS
NEET27-BIO-1019,XII,Botany,Unit 7: Genetics and Evolution,Principles of Inheritance and Variation,Principles of Inheritance and Variation,Genetic terminology,Statement Completion,Easy,B,False,,True,PASS
NEET27-BIO-1020,XII,Botany,Unit 7: Genetics and Evolution,Evolution,Evolution,Population genetics,Cross-Concept Elimination,Difficult,C,False,,True,PASS
NEET27-BIO-1021,XII,Botany,Unit 9: Biotechnology and Its Applications,Biotechnology: Principles and Processes,Biotechnology: Principles and Processes,Core principles,Applied Classification,Medium,D,False,,True,PASS
NEET27-BIO-1022,XII,Botany,Unit 7: Genetics and Evolution,Principles of Inheritance and Variation,Principles of Inheritance and Variation,Chromosomal disorders,Statement Completion,Easy,A,False,,True,PASS
NEET27-BIO-1023,XII,Zoology,Unit 8: Biology and Human Welfare,Human Health and Disease,Human Health and Disease,Primary and secondary antibody responses,Graph Analysis,Easy,C,True,figures/NEET27-BIO-XII-CH07-FIG01.png,True,PASS
NEET27-BIO-1024,XI,Botany,Unit 1: Diversity in Living World,Plant Kingdom,Plant Kingdom,Integrated chapter reasoning,Multi-statement,Difficult,B,False,,True,PASS
NEET27-BIO-1025,XII,Botany,Unit 10: Ecology and Environment,Biodiversity and Conservation,Biodiversity and Conservation,Integrated chapter reasoning,Higher-order multi-statement,Difficult,D,False,,True,PASS
NEET27-BIO-1026,XI,Botany,Unit 1: Diversity in Living World,Plant Kingdom,Plant Kingdom,Gymnosperm ovules with Gymnosperm nutritive tissue,Applied statement comparison,Medium,A,False,,True,PASS
NEET27-BIO-1027,XI,Zoology,Unit 1: Diversity in Living World,Animal Kingdom,Animal Kingdom,Hemichordata,Direct NCERT-based,Easy,D,False,,True,PASS
NEET27-BIO-1028,XII,Botany,Unit 10: Ecology and Environment,Organisms and Populations,Organisms and Populations,Positive interactions,Cross-Concept Elimination,Difficult,A,False,,True,PASS
NEET27-BIO-1029,XII,Botany,Unit 6: Reproduction,Sexual Reproduction in Flowering Plants,Sexual Reproduction in Flowering Plants,Ovule and embryo sac,Cross-Concept Elimination,Difficult,B,False,,True,PASS
NEET27-BIO-1030,XI,Botany,Unit 4: Plant Physiology,Plant Growth and Development,Plant Growth and Development,Cytokinins and Ethylene and ABA,Statement I and Statement II,Medium,B,False,,True,PASS
NEET27-BIO-1031,XII,Zoology,Unit 6: Reproduction,Human Reproduction,Human Reproduction,Gametogenesis,Applied Classification,Medium,C,False,,True,PASS
NEET27-BIO-1032,XI,Botany,Unit 2: Structural Organisation in Animals and Plants,Morphology of Flowering Plants,Morphology of Flowering Plants,Leaf parts with Phyllotaxy,Applied statement comparison,Medium,B,False,,True,PASS
NEET27-BIO-1033,XI,Botany,Unit 1: Diversity in Living World,Plant Kingdom,Plant Kingdom,Integrated chapter reasoning,Multi-statement,Difficult,A,False,,True,PASS
NEET27-BIO-1034,XI,Botany,Unit 1: Diversity in Living World,The Living World,The Living World,Integrated chapter reasoning,Multi-statement,Difficult,C,False,,True,PASS
NEET27-BIO-1035,XI,Botany,Unit 4: Plant Physiology,Photosynthesis in Higher Plants,Photosynthesis in Higher Plants,Integrated chapter reasoning,Higher-order multi-statement,Difficult,D,False,,True,PASS
NEET27-BIO-1036,XI,Botany,Unit 3: Cell Structure and Function,Cell Cycle and Cell Division,Cell Cycle and Cell Division,Cytokinesis and Meiosis I,Statement I and Statement II,Medium,A,False,,True,PASS
NEET27-BIO-1037,XII,Botany,Unit 10: Ecology and Environment,Biodiversity and Conservation,Biodiversity and Conservation,Conservation,Applied Classification,Medium,D,False,,True,PASS
NEET27-BIO-1038,XII,Botany,Unit 7: Genetics and Evolution,Molecular Basis of Inheritance,Molecular Basis of Inheritance,Transcription and RNA,Cross-Concept Elimination,Difficult,B,False,,True,PASS
NEET27-BIO-1039,XI,Botany,Unit 1: Diversity in Living World,Biological Classification,Biological Classification,Integrated chapter reasoning,Higher-order multi-statement,Difficult,C,False,,True,PASS
NEET27-BIO-1040,XII,Botany,Unit 9: Biotechnology and Its Applications,Biotechnology and Its Applications,Biotechnology and Its Applications,Agricultural applications,Evidence Integration,Difficult,A,False,,True,PASS
NEET27-BIO-1041,XII,Botany,Unit 9: Biotechnology and Its Applications,Biotechnology: Principles and Processes,Biotechnology: Principles and Processes,Restriction and joining enzymes,Direct Concept,Easy,C,False,,True,PASS
NEET27-BIO-1042,XI,Botany,Unit 2: Structural Organisation in Animals and Plants,Morphology of Flowering Plants,Morphology of Flowering Plants,Prop roots and Pneumatophores,Statement I and Statement II,Medium,C,False,,True,PASS
NEET27-BIO-1043,XII,Botany,Unit 9: Biotechnology and Its Applications,Biotechnology: Principles and Processes,Biotechnology: Principles and Processes,Cloning vectors,Case Analysis,Difficult,D,False,,True,PASS
NEET27-BIO-1044,XI,Zoology,Unit 1: Diversity in Living World,Animal Kingdom,Animal Kingdom,Integrated chapter reasoning,Multi-statement,Difficult,A,False,,True,PASS
NEET27-BIO-1045,XII,Botany,Unit 9: Biotechnology and Its Applications,Biotechnology and Its Applications,Biotechnology and Its Applications,Medical applications,Applied Classification,Medium,D,False,,True,PASS
NEET27-BIO-1046,XII,Botany,Unit 10: Ecology and Environment,Organisms and Populations,Organisms and Populations,Predation with Population change,Applied statement comparison,Medium,B,False,,True,PASS
NEET27-BIO-1047,XII,Botany,Unit 10: Ecology and Environment,Biodiversity and Conservation,Biodiversity and Conservation,Species-area relationship,Graph Analysis,Easy,B,True,figures/NEET27-BIO-XII-CH13-FIG01.png,True,PASS
NEET27-BIO-1048,XI,Zoology,Unit 2: Structural Organisation in Animals and Plants,Structural Organisation in Animals,Structural Organisation in Animals,Male frog reproduction,Direct NCERT-based,Easy,A,False,,True,PASS
NEET27-BIO-1049,XII,Botany,Unit 10: Ecology and Environment,Organisms and Populations,Organisms and Populations,Competition,Direct NCERT-based,Easy,D,False,,True,PASS
NEET27-BIO-1050,XI,Botany,Unit 1: Diversity in Living World,The Living World,The Living World,Integrated chapter reasoning,Higher-order multi-statement,Difficult,C,False,,True,PASS
NEET27-BIO-1051,XI,Botany,Unit 2: Structural Organisation in Animals and Plants,Anatomy of Flowering Plants,Anatomy of Flowering Plants,Phloem,Direct NCERT-based,Easy,C,False,,True,PASS
NEET27-BIO-1052,XI,Botany,Unit 1: Diversity in Living World,Biological Classification,Biological Classification,Kingdom Monera with Methanogens,Applied statement comparison,Medium,A,False,,True,PASS
NEET27-BIO-1053,XI,Botany,Unit 1: Diversity in Living World,Plant Kingdom,Plant Kingdom,Gymnosperm heterospory,Direct NCERT-based,Easy,A,False,,True,PASS
NEET27-BIO-1054,XI,Botany,Unit 4: Plant Physiology,Respiration in Plants,Respiration in Plants,Fate of pyruvic acid,Direct Concept,Easy,B,False,,True,PASS
NEET27-BIO-1055,XI,Zoology,Unit 5: Human Physiology,Breathing and Exchange of Gases,Breathing and Exchange of Gases,Mechanics of breathing,Integrated Association Analysis,Medium,B,False,,True,PASS
NEET27-BIO-1056,XI,Botany,Unit 1: Diversity in Living World,Plant Kingdom,Plant Kingdom,Moss stages and Pteridophyte vascular tissue,Statement I and Statement II,Medium,A,False,,True,PASS
NEET27-BIO-1057,XII,Botany,Unit 8: Biology and Human Welfare,Microbes in Human Welfare,Microbes in Human Welfare,Curd formation and Fermented dough,Statement I and Statement II,Medium,C,False,,True,PASS
NEET27-BIO-1058,XII,Botany,Unit 7: Genetics and Evolution,Principles of Inheritance and Variation,Principles of Inheritance and Variation,Mendelian inheritance,Cross-Concept Elimination,Difficult,B,False,,True,PASS
NEET27-BIO-1059,XI,Botany,Unit 2: Structural Organisation in Animals and Plants,Morphology of Flowering Plants,Morphology of Flowering Plants,Integrated chapter reasoning,Higher-order multi-statement,Difficult,D,False,,True,PASS
NEET27-BIO-1060,XI,Zoology,Unit 1: Diversity in Living World,Animal Kingdom,Animal Kingdom,Levels of organisation,Direct NCERT-based,Easy,C,False,,True,PASS
NEET27-BIO-1061,XI,Botany,Unit 2: Structural Organisation in Animals and Plants,Anatomy of Flowering Plants,Anatomy of Flowering Plants,Sclerenchyma and Xylem,Statement I and Statement II,Medium,D,False,,True,PASS
NEET27-BIO-1062,XII,Botany,Unit 10: Ecology and Environment,Ecosystem,Ecosystem,Ten-percent law with Pyramids of biomass,Applied statement comparison,Medium,D,False,,True,PASS
NEET27-BIO-1063,XII,Zoology,Unit 6: Reproduction,Human Reproduction,Human Reproduction,Early development,Applied Classification,Medium,A,False,,True,PASS
NEET27-BIO-1064,XI,Botany,Unit 4: Plant Physiology,Respiration in Plants,Respiration in Plants,Formula for respiratory quotient,Formula Based,Easy,A,False,,True,PASS
NEET27-BIO-1065,XII,Botany,Unit 8: Biology and Human Welfare,Microbes in Human Welfare,Microbes in Human Welfare,Integrated chapter reasoning,Multi-statement,Difficult,D,False,,True,PASS
